country_name,rate2019both,rate2019male,rate2019female,pop2021
Lesotho,72.4,116,30.1,2159.079
Guyana,40.3,63,17.4,790.326
Eswatini,29.4,55.1,4.7,1172.362
South Korea,28.6,40.2,16.9,51305.186
Kiribati,28.3,48.6,8.7,121.392
Micronesia,28.2,43.2,12.7,116.254
Lithuania,26.1,45.4,9.6,2689.862
Suriname,25.4,38.8,11.8,591.8
Russia,25.1,43.6,9.1,145912.025
South Africa,23.5,37.6,9.8,60041.994
Ukraine,21.6,39.2,6.5,43466.819
Belarus,21.2,36.7,7.7,9442.862
Uruguay,21.2,34.5,8.9,3485.151
Montenegro,21,31.7,10.4,628.053
Latvia,20.1,35.5,7,1866.942
Slovenia,19.8,31.4,8.3,2078.724
Belgium,18.3,24.9,11.8,11632.326
Vanuatu,18,28.1,7.6,314.464
Mongolia,17.9,30.7,5.4,3329.289
Kazakhstan,17.6,29,6.8,18994.962
Hungary,16.6,25.9,8.3,9634.164
Croatia,16.4,25.3,8.1,4081.651
United States,16.1,25,7.5,332915.073
Botswana,16.1,26.3,6.4,2397.241
Japan,15.3,21.8,9.2,126050.804
Finland,15.3,23.2,7.6,5548.36
Estonia,14.9,24.3,6.5,1325.185
Sweden,14.7,19.9,9.5,10160.169
Moldova,14.7,26.1,4.1,4024.019
Solomon Islands,14.7,27,1.9,703.996
Austria,14.6,22.8,6.7,9043.07
Cuba,14.5,23,6,11317.505
Switzerland,14.5,20.2,9,8715.494
Zimbabwe,14.1,20,8.8,15092.171
Sri Lanka,14,22.3,6.2,21497.31
France,13.8,20.4,7.6,65426.179
Mozambique,13.6,22,5.7,32163.047
India,12.7,14.1,11.1,1393409.038
Samoa,12.6,18,6.7,200.149
Australia,12.5,18.6,6.4,25788.215
Germany,12.3,18.6,6.2,83900.473
Central African Republic,12.3,19.6,5.2,4919.981
Slovakia,12.1,21.2,3.4,5460.721
Iceland,11.9,19.8,3.9,343.353
Canada,11.8,17.6,6.1,38067.903
Netherlands,11.8,15.5,8.3,17173.099
Norway,11.8,15.8,7.7,5465.63
Portugal,11.5,17.9,5.7,10167.925
Serbia,11.4,16.6,6.3,8697.55
Poland,11.3,20.1,3.1,37797.005
Luxembourg,11.3,15.3,7.1,634.814
Singapore,11.2,15,7.1,5896.686
New Zealand,11,16.5,5.8,4860.643
Eritrea,10.9,16.6,5.2,3601.467
Bosnia and Herzegovina,10.9,17.6,4.5,3263.466
Denmark,10.7,14.9,6.5,5813.298
Romania,9.7,16.5,3.3,19127.774
Bulgaria,9.7,15.3,4.4,6896.663
Namibia,9.7,16.7,3.2,2587.344
Haiti,9.6,11.8,7.6,11541.685
Ireland,9.6,15.4,3.9,4982.907
Djibouti,9.6,12.6,6.4,1002.187
Mauritius,9.5,16.3,2.8,1273.433
North Korea,9.4,11.2,7.6,25887.041
North Macedonia,9.4,13.9,4.8,2082.658
Georgia,9.2,16,3,3979.765
Nepal,9,16.4,2.7,29674.92
Cameroon,9,13.6,4.4,27224.265
Chile,9,14.9,3.2,19212.361
Fiji,9,12.2,5.7,902.906
Pakistan,8.9,13.3,4.3,225199.937
Ivory Coast,8.9,14.9,2.8,27053.629
Bahrain,8.9,12.5,2.4,1748.296
Thailand,8.8,15,2.9,69950.85
Togo,8.8,13.8,3.9,8478.25
Trinidad and Tobago,8.7,13.9,3.6,1403.375
Argentina,8.4,13.7,3.3,45605.826
Gabon,8.4,14.2,2.4,2278.825
China,8.1,9.8,6.2,1444216.107
